Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-11,700361_anallievent.com_Cross Device,184,0.11,10
2017-07-11,700370_twelveandsix.com_Cross Device,217,0.08,7
2017-07-11,700374_bostoncommons.net_Cross Device,0,0,0
2017-07-11,700375_girlfriendology.com_Cross Device,1380,0.77,65
2017-07-11,700376_thequietgrove.com_Cross Device,413,0.33,45
2017-07-11,700378_craftandtell.com_Cross Device,96,0.04,19
2017-07-11,700385_addicted2recipes.com_Cross Device,384,0.29,54
2017-07-11,700386_lovingchristministries.com_Cross Device,283,0.58,43
2017-07-11,700393_azgrabaplate.com_Cross Device,594,1.00,60
2017-07-11,700394_preppyrunner.com_Cross Device,1050,0.41,114
2017-07-11,700415_6milesdaily.com_Cross Device,401,0.21,12
2017-07-11,700420_underatexassky.com_Cross Device,144,0.06,24
2017-07-11,700424_backroadplanet.com_Cross Device,353,0.52,24
2017-07-11,700432_homestead-acres.com_Cross Device,264,0.06,45
2017-07-11,700434_oursundaycafe.com_Cross Device,64,0.05,9
