placement_id,placement_name,line_item_name,revenue,imps,imps_blank,imps_default_error,imps_default_bidder,size
9810142,100424_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9360210,101643_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.016693,176,0,0,159,300x250
6200054,101334_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.002833,36,0,0,34,300x250
9928814,100060_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.056366,31,0,0,0,728x90
9753830,101717_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.015701,7,0,0,0,300x600
9010820,100599_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x250
10041955,101752_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.154333,307,0,0,218,300x250
6349648,101363_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.000000,3,0,0,3,300x250
4523638,100621_USINT_BTF_160x600_34258176_1M,Resold Line Item,0.000275,36,0,0,35,160x600
9803685,101732_USINT_BTF_728x90_34258176_1W,Resold Line Item,0.000000,6,0,0,0,728x90
9024115,101272_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.015124,7,0,0,0,160x600
9016900,100884_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
10033235,101745_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.151796,573,0,0,487,300x250
10049027,700353_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.000000,12,0,0,0,300x250
11084947,700622_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.007403,2,0,0,0,728x90
6928695,101437_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.003124,275,0,0,0,300x250
7064501,101465_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.012882,62,0,0,56,300x250
9410640,101658_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.007472,37,0,0,35,300x250
5731084,101272_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.012283,677,0,0,0,300x250
4729974,100805_USINT_BTF_300x250_34258176_4W,Resold Line Item,0.000000,1,0,0,0,300x250
9016899,100881_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.007738,5,0,0,0,300x250
9856208,100769_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
10436196,100194_USINT_INLINE_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,640x480
4704280,101005_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.005652,7,0,0,0,300x250
9521027,101644_USINT_ATF_300x250_34258176_3W,Resold Line Item,0.039164,272,0,0,234,300x250
9031154,700283_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.021991,50,0,0,0,300x250
9753830,101717_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.051695,28,0,0,0,300x250
9012003,100511_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,160x600
5331506,101181_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.001383,6,0,0,4,300x250
9024143,101251_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.019009,6,0,0,0,728x90
9260955,700439_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
9016270,100779_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.652148,395,0,0,0,160x600
9024431,101344_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
6385935,101372_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.000000,13,0,0,13,300x250
10532221,101874_USINT_BTF_300x250_34258176_1,Resold Line Item,0.201812,790,0,0,718,728x90
9024962,101364_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004300,1,0,0,0,728x90
9016883,100873_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
7463426,101529_USINT_ATF_300x250_34258176_1W,Resold Line Item,0.000000,46,0,0,46,300x250
9024894,101468_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004423,3,0,0,0,728x90
9016003,100629_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
4429505,100154_USINT_BTF_300X250_34258176_2W,Resold Line Item,0.002916,8,0,0,6,300x250
4565282,101011_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.007608,95,0,0,0,300x250
6507535,100060_USINT_OUT_1x1_34258176_1,Resold Line Item,0.000000,495,495,0,0,1x1
4704272,101005_USINT_BTF_300x250_34258176_1M,Resold Line Item,0.000000,1,0,0,1,300x250
11217949,101933_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.207150,131,0,0,0,320x50
9847089,101750_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.132821,38,0,0,0,728x90
9963116,101794_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001261,1,0,0,0,160x600
4474516,100761_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.003707,6,0,0,0,300x250
4470287,100687_USINT_ATF_728x90_34258176_1M,Resold Line Item,0.000000,1,0,0,1,728x90
9012183,100357_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000770,4,0,0,0,320x50
11260666,101940_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000015,1,0,0,0,320x50
4450263,100403_USINT_BTF_300x250_34258176_2M,Resold Line Item,0.003373,19,0,0,11,300x250
5543807,101222_USINT_ATF_300x250_34258176_1M,Resold Line Item,0.000336,1,0,0,0,300x250
9031911,700425_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.003431,17,0,0,0,320x50
4460874,100519_USINT_BTF_300x250_34258176_4W,Resold Line Item,0.001882,8,0,0,5,300x250
9024158,101304_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.079480,44,0,0,0,300x250
10662154,101881_USINT_ATF_300x250_34258176_1,Resold Line Item,0.024809,163,0,0,139,300x250
4474539,100719_USINT_BTF_300x250_34258176_3M,Resold Line Item,0.000000,28,0,0,28,300x250
9929259,100022_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
9840585,101743_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.019195,6,0,0,0,300x600
9011508,100020_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.004299,1,0,0,0,728x90
9737269,101713_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.016703,11,0,0,2,300x250
5416685,101197_USINT_BTF_300x250_34258176_3W,Resold Line Item,0.013404,97,0,0,0,300x250
