Date,Domain,"Ad Size","Ad Requests","Matched Ad Requests","Fill Rate","Estimated Net Earnings",eCPM
2018-01-24,gotosew.com,300x250,2337,62,2.65,0.06,0.97
2018-01-24,vgamerz.com,320x50,879,44,5.01,0.06,1.36
2018-01-24,blovelyevents.com,300x250,2805,26,0.93,0.06,2.29
2018-01-24,girltalkhq.com,728x90,1352,49,3.62,0.06,1.22
2018-01-24,gourmandeinthekitchen.com,728x90,1228,39,3.18,0.06,1.51
2018-01-24,thedistractedmom.com,300x250,18065,58,0.32,0.06,1.01
2018-01-24,minareport.com,728x90,3372,55,1.63,0.06,1.07
2018-01-24,beinggenevieve.com,300x250,2524,55,2.18,0.06,1.06
2018-01-24,awhimsiclelife.com,300x250,12853,27,0.21,0.06,2.15
2018-01-24,babesinhairland.com,728x90,2032,45,2.21,0.06,1.29
2018-01-24,amyscreativeside.com,300x250,3328,55,1.65,0.06,1.05
2018-01-24,themomoftheyear.net,320x50,588,44,7.48,0.06,1.32
2018-01-24,babesinhairland.com,320x50,4101,66,1.61,0.06,0.87
2018-01-24,themomoftheyear.net,300x600,144,27,18.75,0.06,2.13
2018-01-24,naivecookcooks.com,300x600,218,40,18.35,0.06,1.44
2018-01-24,healthygreenkitchen.com,300x250,1607,33,2.05,0.06,1.74
2018-01-24,jensfavoritecookies.com,728x90,905,55,6.08,0.06,1.04
2018-01-24,onetimethrough.com,728x90,1207,33,2.73,0.06,1.74
2018-01-24,thediyfoodie.com,300x250,3496,62,1.77,0.06,0.92
2018-01-24,glutenfreeguidehq.com,300x250,2383,33,1.38,0.06,1.73
2018-01-24,healthycanning.com,160x600,502,57,11.35,0.06,1
2018-01-24,bitesizedbiggie.com,300x600,236,34,14.41,0.06,1.67
2018-01-24,lets-get-together.com,160x600,292,35,11.99,0.06,1.62
2018-01-24,thisheartofmineblog.com,160x600,747,29,3.88,0.06,1.95
2018-01-24,allthingsgd.com,320x50,870,50,5.75,0.06,1.13
2018-01-24,loveoffamilyandhome.net,320x50,127,31,24.41,0.06,1.81
2018-01-24,mobilehomerepair.com,320x50,2732,22,0.81,0.06,2.55
2018-01-24,getcreativejuice.com,728x90,1446,32,2.21,0.06,1.74
2018-01-24,ksitetv.com,320x50,2608,80,3.07,0.06,0.7
2018-01-24,naivecookcooks.com,160x600,178,40,22.47,0.06,1.39
2018-01-24,greenarrowtv.com,300x250,3343,64,1.91,0.06,0.86
2018-01-24,dreambookdesign.com,300x250,1409,32,2.27,0.05,1.71
2018-01-24,apronstringsblog.com,300x250,5721,33,0.58,0.05,1.66
2018-01-24,tosimplyinspire.com,160x600,328,45,13.72,0.05,1.22
2018-01-24,blovelyevents.com,728x90,1269,24,1.89,0.05,2.28
2018-01-24,cookingforbusymums.com,300x600,323,32,9.91,0.05,1.7
