Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-08,101421_clairebrodydesigns.com_Cross Device,840,0.44,106
2017-07-08,101425_vodkaandbiscuits.com_Cross Device,1924,2.05,58
2017-07-08,101430_Earthables.com_Cross Device,7365,1.01,4621
2017-07-08,101431_johnpavlovitz.com_Cross Device,30919,29.49,2549
2017-07-08,101441_insipremore.com_Below Article,989172,469.59,66215
2017-07-08,101476_jojocrews.com_Cross Device,1265,0.23,438
2017-07-08,101495_sarahhearts.com_Cross Device,949,0.58,213
2017-07-08,101505_shebuyshebuilds.com_Cross Device,84,0.04,13
2017-07-08,101507_coolcrafts.com_Cross Device,1885,0.62,52
2017-07-08,101513_trendingrecord.com_Cross Device,5,0.00,0
2017-07-08,101524_leaguelane.com_Cross Device,8064,1.08,2023
2017-07-08,101529_preparetoserve.com_Cross Device,416,0.21,38
2017-07-08,101548_mobilestrikedata.com_Cross Device,958,0.52,102
2017-07-08,101554_thebellyrulesthemind.net_Cross Device,1765,0.57,399
2017-07-08,101577_trimesterfashion.com_Cross Device,626,0.72,135
2017-07-08,101585_vikingswarofclansdata.com_Cross Device,1021,0.79,254
2017-07-08,101590_capitolromance.com_Cross Device,682,0.66,39
2017-07-08,101594_americancrochet.com_Cross Device,370,0.10,21
2017-07-08,101600_mommyskitchen.net_Cross Device,4927,0.78,744
2017-07-08,101626_youputiton.com_Cross Device,9,0,4
2017-07-08,101643_ikream.com_Cross Device,3297,2.12,46
2017-07-08,101648_meditationtechniques.co_Cross Device,142,0.07,23
2017-07-08,101675_dachshundreport.com_Cross Device,23,0.01,12
2017-07-08,101694_whiskaffair.com_Cross Device,2999,1.15,257
2017-07-08,101701_fitting-it-all-in.com_Cross Device,1516,1.08,347
2017-07-08,101702_doesitreallywork.org_Cross Device,10531,13.54,2673
2017-07-08,101710_blogchef.net_Cross Device,4469,4.08,1101
2017-07-08,101717_getdatgadget.com_Cross Device,1876,0.56,166
2017-07-08,101718_thenaturaldoggie.com_Cross Device,9,0.01,4
2017-07-08,101719_examinedexistence.com_Cross Device,1896,1.27,55
2017-07-08,101724_barrentobeautiful.com_Cross Device,115,0.10,4
2017-07-08,101728_cookwithkushi.com_Cross Device,1130,0.47,172
2017-07-08,101746_meijermadness.com_Cross Device,1040,1.42,312
2017-07-08,101747_theviveur.com_Cross Device,208,0.13,42
2017-07-08,101771_foodiefather.net_Cross Device,21,0.00,0
2017-07-08,101776_cooksinfo.com_Cross Device,684,0.29,85
2017-07-08,101777_healthycanning.com_Cross Device,3315,3.54,182
2017-07-08,101802_cozinhalegal.com.br_Cross Device,13040,1.35,1977
2017-07-08,101808_jbklutse.com_Cross Device,60,0.00,3
2017-07-08,101820_hotairfrying.com_Cross Device,1386,0.87,186
2017-07-08,101862_shakeuplearning.com_Cross Device,1975,2.03,75
2017-07-08,101864_daily-affair.com_Cross Device,14,0.00,4
2017-07-08,101865_digiworthy.com_Cross Device,2137,2.07,1132
2017-07-08,101872_adoubledose.com_Cross Device,1119,0.36,74
2017-07-08,101890_blog.myrecipemagic.com_Cross Device,63,0.01,31
2017-07-08,101911_ddhranch.com_Cross Device,26,0.00,5
2017-07-08,101913_thepinterestedparent.com_Cross Device,0,0,0
2017-07-08,101919_the5krunner.com_Cross Device,1253,1.75,153
2017-07-08,101924_howtobeperfectwoman.com_Cross Device,72,0.01,12
2017-07-08,101931_epicgardening.com_Cross Device,5442,6.68,1039
2017-07-08,101933_realityblurred.com_Cross Device,5553,3.60,1861
